		Total			MonoSyll			Initial			Medial			Final			nGram_Total			nGram_Word_initial
phones	Syllable Length	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
fjOt	4	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	2	2.000000	0.693147	1	1.000000	0.000000	
trOn	4	5	32.000000	3.465736	0	0.000000	0.000000	1	2.000000	0.693147	1	1.000000	0.000000	3	29.000000	3.367296	28	310.000000	5.736572	2	75.000000	4.317488	
plank	5	4	5.000000	1.609438	0	0.000000	0.000000	3	4.000000	1.386294	1	1.000000	0.000000	0	0.000000	0.000000	4	5.000000	1.609438	3	4.000000	1.386294	
pEw	3	15	79.000000	4.369448	0	0.000000	0.000000	0	0.000000	0.000000	15	79.000000	4.369448	0	0.000000	0.000000	15	79.000000	4.369448	0	0.000000	0.000000	
rald	4	1	11.000000	2.397895	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	11.000000	2.397895	26	74.000000	4.304065	0	0.000000	0.000000	
fjug	4	1	2.000000	0.693147	0	0.000000	0.000000	1	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	1	2.000000	0.693147	1	2.000000	0.693147	
fju	3	68	1048.000000	6.954639	0	0.000000	0.000000	22	401.000000	5.993961	46	647.000000	6.472346	0	0.000000	0.000000	69	1050.000000	6.956545	23	403.000000	5.998937	
flac	4	4	5.000000	1.609438	0	0.000000	0.000000	4	5.000000	1.609438	0	0.000000	0.000000	0	0.000000	0.000000	4	5.000000	1.609438	4	5.000000	1.609438	
flan	4	1	1.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	2	4.000000	1.386294	2	4.000000	1.386294	
flap	4	1	1.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	1	1.000000	0.000000	
flaw	4	3	17.000000	2.833213	0	0.000000	0.000000	3	17.000000	2.833213	0	0.000000	0.000000	0	0.000000	0.000000	3	17.000000	2.833213	3	17.000000	2.833213	
flE	3	3	17.000000	2.833213	0	0.000000	0.000000	3	17.000000	2.833213	0	0.000000	0.000000	0	0.000000	0.000000	34	278.000000	5.627621	6	20.000000	2.995732	
fle	3	6	11.000000	2.397895	0	0.000000	0.000000	5	10.000000	2.302585	0	0.000000	0.000000	1	1.000000	0.000000	52	403.000000	5.998937	20	132.000000	4.882802	
flem	4	2	3.000000	1.098612	0	0.000000	0.000000	2	3.000000	1.098612	0	0.000000	0.000000	0	0.000000	0.000000	2	3.000000	1.098612	2	3.000000	1.098612	
flEt	4	14	157.000000	5.056246	0	0.000000	0.000000	3	3.000000	1.098612	11	154.000000	5.036953	0	0.000000	0.000000	14	157.000000	5.056246	3	3.000000	1.098612	
flip	4	3	13.000000	2.564949	0	0.000000	0.000000	3	13.000000	2.564949	0	0.000000	0.000000	0	0.000000	0.000000	3	13.000000	2.564949	3	13.000000	2.564949	
flir	4	4	8.000000	2.079442	0	0.000000	0.000000	4	8.000000	2.079442	0	0.000000	0.000000	0	0.000000	0.000000	4	8.000000	2.079442	4	8.000000	2.079442	
flO	3	19	83.000000	4.418841	0	0.000000	0.000000	17	79.000000	4.369448	2	4.000000	1.386294	0	0.000000	0.000000	25	127.000000	4.844187	22	122.000000	4.804021	
flor	4	2	2.000000	0.693147	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	17	41.000000	3.713572	14	38.000000	3.637586	
flOt	4	2	39.000000	3.663562	0	0.000000	0.000000	2	39.000000	3.663562	0	0.000000	0.000000	0	0.000000	0.000000	2	39.000000	3.663562	2	39.000000	3.663562	
flot	4	2	2.000000	0.693147	0	0.000000	0.000000	2	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	2	2.000000	0.693147	2	2.000000	0.693147	
flwi	4	10	42.000000	3.737670	0	0.000000	0.000000	9	34.000000	3.526361	0	0.000000	0.000000	1	8.000000	2.079442	10	42.000000	3.737670	9	34.000000	3.526361	
flwo	4	8	30.000000	3.401197	0	0.000000	0.000000	5	9.000000	2.197225	1	1.000000	0.000000	2	20.000000	2.995732	8	30.000000	3.401197	5	9.000000	2.197225	
reS	3	11	103.000000	4.634729	0	0.000000	0.000000	3	5.000000	1.609438	8	98.000000	4.584967	0	0.000000	0.000000	113	1320.000000	7.185387	3	5.000000	1.609438	
flut	4	12	48.000000	3.871201	0	0.000000	0.000000	11	46.000000	3.828641	1	2.000000	0.693147	0	0.000000	0.000000	12	48.000000	3.871201	11	46.000000	3.828641	
fok	3	2	5.000000	1.609438	0	0.000000	0.000000	1	1.000000	0.000000	1	4.000000	1.386294	0	0.000000	0.000000	61	226.000000	5.420535	22	63.000000	4.143135	
Gac	3	3	6.000000	1.791759	0	0.000000	0.000000	0	0.000000	0.000000	3	6.000000	1.791759	0	0.000000	0.000000	10	27.000000	3.295837	0	0.000000	0.000000	
fOg	3	7	92.000000	4.521789	0	0.000000	0.000000	7	92.000000	4.521789	0	0.000000	0.000000	0	0.000000	0.000000	10	118.000000	4.770685	7	92.000000	4.521789	
fog	3	4	6.000000	1.791759	0	0.000000	0.000000	4	6.000000	1.791759	0	0.000000	0.000000	0	0.000000	0.000000	10	29.000000	3.367296	4	6.000000	1.791759	
foL	3	13	42.000000	3.737670	0	0.000000	0.000000	10	38.000000	3.637586	3	4.000000	1.386294	0	0.000000	0.000000	23	77.000000	4.343805	10	38.000000	3.637586	
Laz	3	2	4.000000	1.386294	0	0.000000	0.000000	0	0.000000	0.000000	2	4.000000	1.386294	0	0.000000	0.000000	2	4.000000	1.386294	0	0.000000	0.000000	
foN	3	8	33.000000	3.496508	0	0.000000	0.000000	8	33.000000	3.496508	0	0.000000	0.000000	0	0.000000	0.000000	8	33.000000	3.496508	8	33.000000	3.496508	
fOrd	4	6	111.000000	4.709530	4	80.000000	4.382027	0	0.000000	0.000000	0	0.000000	0.000000	2	31.000000	3.433987	6	111.000000	4.709530	4	80.000000	4.382027	
fot	3	8	10.000000	2.302585	0	0.000000	0.000000	5	6.000000	1.791759	3	4.000000	1.386294	0	0.000000	0.000000	72	592.000000	6.383507	60	575.000000	6.354370	
frak	4	5	13.000000	2.564949	2	8.000000	2.079442	3	5.000000	1.609438	0	0.000000	0.000000	0	0.000000	0.000000	20	46.000000	3.828641	20	46.000000	3.828641	
frac	4	1	9.000000	2.197225	0	0.000000	0.000000	1	9.000000	2.197225	0	0.000000	0.000000	0	0.000000	0.000000	3	11.000000	2.397895	1	9.000000	2.197225	
siZ	3	3	3.000000	1.098612	0	0.000000	0.000000	0	0.000000	0.000000	3	3.000000	1.098612	0	0.000000	0.000000	3	3.000000	1.098612	0	0.000000	0.000000	
frap	4	4	7.000000	1.945910	0	0.000000	0.000000	4	7.000000	1.945910	0	0.000000	0.000000	0	0.000000	0.000000	4	7.000000	1.945910	4	7.000000	1.945910	
fras	4	23	97.000000	4.574711	0	0.000000	0.000000	21	81.000000	4.394449	2	16.000000	2.772589	0	0.000000	0.000000	37	405.000000	6.003887	29	378.000000	5.934894	
frec	4	7	62.000000	4.127134	0	0.000000	0.000000	7	62.000000	4.127134	0	0.000000	0.000000	0	0.000000	0.000000	15	80.000000	4.382027	7	62.000000	4.127134	
frEd	4	2	29.000000	3.367296	2	29.000000	3.367296	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	5	36.000000	3.583519	3	31.000000	3.433987	
frE	3	19	63.000000	4.143135	0	0.000000	0.000000	12	43.000000	3.761200	7	20.000000	2.995732	0	0.000000	0.000000	33	155.000000	5.043425	14	72.000000	4.276666	
freN	4	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	1	1.000000	0.000000	
id	2	9	56.000000	4.025352	1	3.000000	1.098612	3	10.000000	2.302585	0	0.000000	0.000000	5	43.000000	3.761200	2610	25971.000000	10.164736	203	2618.000000	7.870166	
froj	4	2	9.000000	2.197225	0	0.000000	0.000000	2	9.000000	2.197225	0	0.000000	0.000000	0	0.000000	0.000000	2	9.000000	2.197225	2	9.000000	2.197225	
frig	4	14	30.000000	3.401197	0	0.000000	0.000000	10	20.000000	2.995732	4	10.000000	2.302585	0	0.000000	0.000000	23	44.000000	3.784190	14	24.000000	3.178054	
frin	4	2	6.000000	1.791759	0	0.000000	0.000000	2	6.000000	1.791759	0	0.000000	0.000000	0	0.000000	0.000000	7	13.000000	2.564949	3	7.000000	1.945910	
GwEl	4	2	6.000000	1.791759	0	0.000000	0.000000	0	0.000000	0.000000	2	6.000000	1.791759	0	0.000000	0.000000	2	6.000000	1.791759	0	0.000000	0.000000	
frit	4	15	68.000000	4.219508	0	0.000000	0.000000	13	64.000000	4.158883	2	4.000000	1.386294	0	0.000000	0.000000	18	71.000000	4.262680	13	64.000000	4.158883	
friz	4	7	20.000000	2.995732	0	0.000000	0.000000	7	20.000000	2.995732	0	0.000000	0.000000	0	0.000000	0.000000	7	20.000000	2.995732	7	20.000000	2.995732	
friZ	4	3	47.000000	3.850148	0	0.000000	0.000000	3	47.000000	3.850148	0	0.000000	0.000000	0	0.000000	0.000000	3	47.000000	3.850148	3	47.000000	3.850148	
frOl	4	1	2.000000	0.693147	0	0.000000	0.000000	1	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	2	4.000000	1.386294	1	2.000000	0.693147	
from	4	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	1	1.000000	0.000000	
frOt	4	4	15.000000	2.708050	0	0.000000	0.000000	4	15.000000	2.708050	0	0.000000	0.000000	0	0.000000	0.000000	4	15.000000	2.708050	4	15.000000	2.708050	
fruk	4	1	2.000000	0.693147	0	0.000000	0.000000	1	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	1	2.000000	0.693147	1	2.000000	0.693147	
frul	4	19	39.000000	3.663562	0	0.000000	0.000000	19	39.000000	3.663562	0	0.000000	0.000000	0	0.000000	0.000000	19	39.000000	3.663562	19	39.000000	3.663562	
fruS	4	10	18.000000	2.890372	0	0.000000	0.000000	10	18.000000	2.890372	0	0.000000	0.000000	0	0.000000	0.000000	10	18.000000	2.890372	10	18.000000	2.890372	
frus	4	21	88.000000	4.477337	0	0.000000	0.000000	21	88.000000	4.477337	0	0.000000	0.000000	0	0.000000	0.000000	23	95.000000	4.553877	22	89.000000	4.488636	
frut	4	31	400.000000	5.991465	0	0.000000	0.000000	24	382.000000	5.945421	7	18.000000	2.890372	0	0.000000	0.000000	57	584.000000	6.369901	24	382.000000	5.945421	
fuc	3	2	6.000000	1.791759	0	0.000000	0.000000	1	2.000000	0.693147	1	4.000000	1.386294	0	0.000000	0.000000	23	135.000000	4.905275	21	129.000000	4.859812	
cEk	3	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	19	125.000000	4.828314	16	121.000000	4.795791	
fuk	3	4	8.000000	2.079442	0	0.000000	0.000000	4	8.000000	2.079442	0	0.000000	0.000000	0	0.000000	0.000000	6	10.000000	2.302585	6	10.000000	2.302585	
fwen	4	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	1	1.000000	0.000000	
fuf	3	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	1	1.000000	0.000000	
fuG	3	5	15.000000	2.708050	0	0.000000	0.000000	3	12.000000	2.484907	2	3.000000	1.098612	0	0.000000	0.000000	39	453.000000	6.115892	17	351.000000	5.860786	
fug	3	44	353.000000	5.866468	0	0.000000	0.000000	40	347.000000	5.849325	4	6.000000	1.791759	0	0.000000	0.000000	96	829.000000	6.720220	40	347.000000	5.849325	
lig	3	4	7.000000	1.945910	0	0.000000	0.000000	1	3.000000	1.098612	3	4.000000	1.386294	0	0.000000	0.000000	87	933.000000	6.838405	5	8.000000	2.079442	
lOp	3	5	20.000000	2.995732	0	0.000000	0.000000	0	0.000000	0.000000	4	19.000000	2.944439	1	1.000000	0.000000	12	54.000000	3.988984	2	27.000000	3.295837	
fum	3	2	22.000000	3.091042	0	0.000000	0.000000	2	22.000000	3.091042	0	0.000000	0.000000	0	0.000000	0.000000	105	833.000000	6.725034	52	441.000000	6.089045	
fwo	3	6	15.000000	2.708050	0	0.000000	0.000000	1	1.000000	0.000000	5	14.000000	2.639057	0	0.000000	0.000000	7	16.000000	2.772589	1	1.000000	0.000000	
fwOr	4	8	34.000000	3.526361	2	18.000000	2.890372	6	16.000000	2.772589	0	0.000000	0.000000	0	0.000000	0.000000	53	1885.000000	7.541683	50	1877.000000	7.537430	
GrOt	4	11	84.000000	4.430817	0	0.000000	0.000000	5	71.000000	4.262680	6	13.000000	2.564949	0	0.000000	0.000000	11	84.000000	4.430817	5	71.000000	4.262680	
uS	2	56	1593.000000	7.373374	0	0.000000	0.000000	48	1576.000000	7.362645	8	17.000000	2.833213	0	0.000000	0.000000	185	4205.000000	8.344030	48	1576.000000	7.362645	
fus	3	21	55.000000	4.007333	0	0.000000	0.000000	11	35.000000	3.555348	10	20.000000	2.995732	0	0.000000	0.000000	123	961.000000	6.867974	34	157.000000	5.056246	
fuS	3	2	2.000000	0.693147	0	0.000000	0.000000	2	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	2	2.000000	0.693147	2	2.000000	0.693147	
Sak	3	17	32.000000	3.465736	0	0.000000	0.000000	11	23.000000	3.135494	6	9.000000	2.197225	0	0.000000	0.000000	21	40.000000	3.688879	14	30.000000	3.401197	
Gab	3	26	167.000000	5.117994	0	0.000000	0.000000	21	159.000000	5.068904	5	8.000000	2.079442	0	0.000000	0.000000	94	518.000000	6.249975	48	344.000000	5.840642	
bjOt	4	3	7.000000	1.945910	0	0.000000	0.000000	0	0.000000	0.000000	3	7.000000	1.945910	0	0.000000	0.000000	8	21.000000	3.044522	0	0.000000	0.000000	
brjE	4	3	66.000000	4.189655	0	0.000000	0.000000	0	0.000000	0.000000	3	66.000000	4.189655	0	0.000000	0.000000	8	111.000000	4.709530	0	0.000000	0.000000	
brjEl	5	5	45.000000	3.806662	0	0.000000	0.000000	0	0.000000	0.000000	5	45.000000	3.806662	0	0.000000	0.000000	8	111.000000	4.709530	0	0.000000	0.000000	
Gad	3	2	18.000000	2.890372	0	0.000000	0.000000	2	18.000000	2.890372	0	0.000000	0.000000	0	0.000000	0.000000	17	92.000000	4.521789	4	20.000000	2.995732	
Gaf	3	4	16.000000	2.772589	0	0.000000	0.000000	4	16.000000	2.772589	0	0.000000	0.000000	0	0.000000	0.000000	10	30.000000	3.401197	4	16.000000	2.772589	
Gag	3	15	90.000000	4.499810	0	0.000000	0.000000	1	2.000000	0.693147	14	88.000000	4.477337	0	0.000000	0.000000	15	90.000000	4.499810	1	2.000000	0.693147	
Lof	3	2	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	2	2.000000	0.693147	0	0.000000	0.000000	2	2.000000	0.693147	0	0.000000	0.000000	
GaN	3	4	6.000000	1.791759	0	0.000000	0.000000	1	2.000000	0.693147	3	4.000000	1.386294	0	0.000000	0.000000	4	6.000000	1.791759	1	2.000000	0.693147	
jOt	3	2	28.000000	3.332205	0	0.000000	0.000000	1	27.000000	3.295837	1	1.000000	0.000000	0	0.000000	0.000000	61	472.000000	6.156979	1	27.000000	3.295837	
Gak	3	1	2.000000	0.693147	0	0.000000	0.000000	1	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	3	4.000000	1.386294	1	2.000000	0.693147	
Gam	3	47	548.000000	6.306275	0	0.000000	0.000000	40	523.000000	6.259581	6	24.000000	3.178054	1	1.000000	0.000000	150	1439.000000	7.271704	45	538.000000	6.287859	
Gljo	4	1	4.000000	1.386294	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	4.000000	1.386294	1	4.000000	1.386294	0	0.000000	0.000000	
GanG	4	5	22.000000	3.091042	0	0.000000	0.000000	4	21.000000	3.044522	0	0.000000	0.000000	1	1.000000	0.000000	18	65.000000	4.174387	13	58.000000	4.060443	
ZiL	3	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	
Gaw	3	6	24.000000	3.178054	0	0.000000	0.000000	6	24.000000	3.178054	0	0.000000	0.000000	0	0.000000	0.000000	6	24.000000	3.178054	6	24.000000	3.178054	
GaZ	3	34	268.000000	5.590987	0	0.000000	0.000000	21	144.000000	4.969813	13	124.000000	4.820282	0	0.000000	0.000000	34	268.000000	5.590987	21	144.000000	4.969813	
gEm	3	7	57.000000	4.043051	1	2.000000	0.693147	4	28.000000	3.332205	2	27.000000	3.295837	0	0.000000	0.000000	19	102.000000	4.624973	14	67.000000	4.204693	
lag	3	14	275.000000	5.616771	0	0.000000	0.000000	1	50.000000	3.912023	13	225.000000	5.416100	0	0.000000	0.000000	50	371.000000	5.916202	2	51.000000	3.931826	
mEt	3	6	25.000000	3.218876	0	0.000000	0.000000	0	0.000000	0.000000	3	11.000000	2.397895	3	14.000000	2.639057	91	1379.000000	7.229114	25	1139.000000	7.037906	
tli	3	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	
njac	4	1	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	1	2.000000	0.693147	0	0.000000	0.000000	2	3.000000	1.098612	0	0.000000	0.000000	
njal	4	1	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	1	2.000000	0.693147	0	0.000000	0.000000	31	207.000000	5.332719	0	0.000000	0.000000	
njEt	4	2	5.000000	1.609438	0	0.000000	0.000000	0	0.000000	0.000000	2	5.000000	1.609438	0	0.000000	0.000000	3	6.000000	1.791759	1	1.000000	0.000000	
gEns	4	1	1.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	1	1.000000	0.000000	
gep	3	1	8.000000	2.079442	0	0.000000	0.000000	1	8.000000	2.079442	0	0.000000	0.000000	0	0.000000	0.000000	1	8.000000	2.079442	1	8.000000	2.079442	
Ged	3	1	22.000000	3.091042	0	0.000000	0.000000	1	22.000000	3.091042	0	0.000000	0.000000	0	0.000000	0.000000	5	32.000000	3.465736	5	32.000000	3.465736	
GEr	3	2	6.000000	1.791759	0	0.000000	0.000000	2	6.000000	1.791759	0	0.000000	0.000000	0	0.000000	0.000000	11	30.000000	3.401197	2	6.000000	1.791759	
Gez	3	6	117.000000	4.762174	0	0.000000	0.000000	1	9.000000	2.197225	5	108.000000	4.682131	0	0.000000	0.000000	6	117.000000	4.762174	1	9.000000	2.197225	
Gjan	4	5	17.000000	2.833213	0	0.000000	0.000000	3	13.000000	2.564949	2	4.000000	1.386294	0	0.000000	0.000000	11	23.000000	3.135494	3	13.000000	2.564949	
Gjaz	4	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	1	1.000000	0.000000	
Gig	3	1	3.000000	1.098612	0	0.000000	0.000000	1	3.000000	1.098612	0	0.000000	0.000000	0	0.000000	0.000000	1	3.000000	1.098612	1	3.000000	1.098612	
Lot	3	4	9.000000	2.197225	0	0.000000	0.000000	0	0.000000	0.000000	4	9.000000	2.197225	0	0.000000	0.000000	4	9.000000	2.197225	0	0.000000	0.000000	
GiN	3	13	22.000000	3.091042	0	0.000000	0.000000	7	10.000000	2.302585	6	12.000000	2.484907	0	0.000000	0.000000	19	30.000000	3.401197	7	10.000000	2.302585	
Gjot	4	23	86.000000	4.454347	0	0.000000	0.000000	6	27.000000	3.295837	17	59.000000	4.077537	0	0.000000	0.000000	23	86.000000	4.454347	6	27.000000	3.295837	
Gjoz	4	11	47.000000	3.850148	0	0.000000	0.000000	2	2.000000	0.693147	9	45.000000	3.806662	0	0.000000	0.000000	11	47.000000	3.850148	2	2.000000	0.693147	
Gir	3	6	11.000000	2.397895	0	0.000000	0.000000	5	9.000000	2.197225	1	2.000000	0.693147	0	0.000000	0.000000	17	42.000000	3.737670	13	36.000000	3.583519	
Gjur	4	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	1	1.000000	0.000000	
Giz	3	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	1	1.000000	0.000000	
gak	3	14	194.000000	5.267858	0	0.000000	0.000000	12	192.000000	5.257495	2	2.000000	0.693147	0	0.000000	0.000000	44	360.000000	5.886104	39	352.000000	5.863631	
gac	3	2	7.000000	1.945910	0	0.000000	0.000000	1	6.000000	1.791759	1	1.000000	0.000000	0	0.000000	0.000000	19	75.000000	4.317488	17	70.000000	4.248495	
kOb	3	1	8.000000	2.079442	0	0.000000	0.000000	0	0.000000	0.000000	1	8.000000	2.079442	0	0.000000	0.000000	6	23.000000	3.135494	3	11.000000	2.397895	
gaf	3	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	3	3.000000	1.098612	1	1.000000	0.000000	
maj	3	7	20.000000	2.995732	0	0.000000	0.000000	0	0.000000	0.000000	7	20.000000	2.995732	0	0.000000	0.000000	55	182.000000	5.204007	43	154.000000	5.036953	
njan	4	7	187.000000	5.231109	0	0.000000	0.000000	0	0.000000	0.000000	6	186.000000	5.225747	1	1.000000	0.000000	107	440.000000	6.086775	0	0.000000	0.000000	
gap	3	10	399.000000	5.988961	0	0.000000	0.000000	10	399.000000	5.988961	0	0.000000	0.000000	0	0.000000	0.000000	10	399.000000	5.988961	10	399.000000	5.988961	
gib	3	2	2.000000	0.693147	0	0.000000	0.000000	2	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	54	157.000000	5.056246	13	25.000000	3.218876	
laj	3	1	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	1	2.000000	0.693147	0	0.000000	0.000000	31	120.000000	4.787492	1	4.000000	1.386294	
gif	3	1	8.000000	2.079442	0	0.000000	0.000000	1	8.000000	2.079442	0	0.000000	0.000000	0	0.000000	0.000000	8	17.000000	2.833213	1	8.000000	2.079442	
giL	3	8	32.000000	3.465736	0	0.000000	0.000000	7	31.000000	3.433987	1	1.000000	0.000000	0	0.000000	0.000000	8	32.000000	3.465736	7	31.000000	3.433987	
gim	3	5	20.000000	2.995732	0	0.000000	0.000000	5	20.000000	2.995732	0	0.000000	0.000000	0	0.000000	0.000000	47	487.000000	6.188264	7	23.000000	3.135494	
gin	3	17	86.000000	4.454347	1	2.000000	0.693147	13	80.000000	4.382027	1	1.000000	0.000000	2	3.000000	1.098612	385	4979.000000	8.512984	43	435.000000	6.075346	
vri	3	2	3.000000	1.098612	0	0.000000	0.000000	0	0.000000	0.000000	2	3.000000	1.098612	0	0.000000	0.000000	9	69.000000	4.234107	0	0.000000	0.000000	
sEnG	4	1	3.000000	1.098612	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	3.000000	1.098612	2	4.000000	1.386294	0	0.000000	0.000000	
gOb	3	2	10.000000	2.302585	0	0.000000	0.000000	2	10.000000	2.302585	0	0.000000	0.000000	0	0.000000	0.000000	2	10.000000	2.302585	2	10.000000	2.302585	
jel	3	11	43.000000	3.761200	0	0.000000	0.000000	3	4.000000	1.386294	8	39.000000	3.663562	0	0.000000	0.000000	22	91.000000	4.510860	3	4.000000	1.386294	
gom	3	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	3	4.000000	1.386294	2	2.000000	0.693147	
gOr	3	11	377.000000	5.932245	0	0.000000	0.000000	8	358.000000	5.880533	3	19.000000	2.944439	0	0.000000	0.000000	11	377.000000	5.932245	8	358.000000	5.880533	
gOs	3	4	23.000000	3.135494	0	0.000000	0.000000	4	23.000000	3.135494	0	0.000000	0.000000	0	0.000000	0.000000	4	23.000000	3.135494	4	23.000000	3.135494	
gos	3	7	12.000000	2.484907	0	0.000000	0.000000	7	12.000000	2.484907	0	0.000000	0.000000	0	0.000000	0.000000	62	574.000000	6.352629	9	19.000000	2.944439	
gub	3	10	66.000000	4.189655	0	0.000000	0.000000	10	66.000000	4.189655	0	0.000000	0.000000	0	0.000000	0.000000	17	86.000000	4.454347	17	86.000000	4.454347	
guf	3	2	5.000000	1.609438	0	0.000000	0.000000	2	5.000000	1.609438	0	0.000000	0.000000	0	0.000000	0.000000	2	5.000000	1.609438	2	5.000000	1.609438	
gug	3	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	2	4.000000	1.386294	2	4.000000	1.386294	
guN	3	2	452.000000	6.113682	0	0.000000	0.000000	2	452.000000	6.113682	0	0.000000	0.000000	0	0.000000	0.000000	2	452.000000	6.113682	2	452.000000	6.113682	
ljet	4	5	31.000000	3.433987	0	0.000000	0.000000	0	0.000000	0.000000	5	31.000000	3.433987	0	0.000000	0.000000	11	44.000000	3.784190	1	1.000000	0.000000	
gul	3	2	6.000000	1.791759	0	0.000000	0.000000	2	6.000000	1.791759	0	0.000000	0.000000	0	0.000000	0.000000	24	522.000000	6.257668	23	521.000000	6.255750	
gwo	3	2	2.000000	0.693147	0	0.000000	0.000000	2	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	2	2.000000	0.693147	2	2.000000	0.693147	
gur	3	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	77	523.000000	6.259581	56	434.000000	6.073045	
pru	3	27	223.000000	5.407172	0	0.000000	0.000000	18	161.000000	5.081404	9	62.000000	4.127134	0	0.000000	0.000000	55	296.000000	5.690359	27	188.000000	5.236442	
sEp	3	9	466.000000	6.144186	0	0.000000	0.000000	3	46.000000	3.828641	6	420.000000	6.040255	0	0.000000	0.000000	15	477.000000	6.167516	4	48.000000	3.871201	
Glas	4	6	10.000000	2.302585	0	0.000000	0.000000	5	8.000000	2.079442	0	0.000000	0.000000	1	2.000000	0.693147	6	10.000000	2.302585	5	8.000000	2.079442	
Glaw	4	4	12.000000	2.484907	0	0.000000	0.000000	4	12.000000	2.484907	0	0.000000	0.000000	0	0.000000	0.000000	4	12.000000	2.484907	4	12.000000	2.484907	
GlE	3	2	4.000000	1.386294	0	0.000000	0.000000	1	1.000000	0.000000	1	3.000000	1.098612	0	0.000000	0.000000	6	29.000000	3.367296	3	24.000000	3.178054	
GlEn	4	2	23.000000	3.135494	1	22.000000	3.091042	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	2	23.000000	3.135494	2	23.000000	3.135494	
LEl	3	4	89.000000	4.488636	1	35.000000	3.555348	0	0.000000	0.000000	3	54.000000	3.988984	0	0.000000	0.000000	5	90.000000	4.499810	1	35.000000	3.555348	
Glip	4	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	1	1.000000	0.000000	
