	Total			Word Onset			Word Medial			Geminate							
vr	212	7879	8.971956	0	0	0	212	7879	8.971956	0	0	0	2	v	r		
blj	15	169	5.129899	0	0	0	15	169	5.129899	0	0	0	3	b	l	j	
sf	532	3897	8.267962	415	2434	7.797291	117	1463	7.288244	0	0	0	2	s	f		
brj	54	603	6.401917	0	0	0	54	603	6.401917	0	0	0	3	b	r	j	
pw	13	3649	8.202208	4	187	5.231109	9	3462	8.149602	0	0	0	2	p	w		
vrj	5	8	2.079442	0	0	0	5	8	2.079442	0	0	0	3	v	r	j	
zw	16	96	4.564348	0	0	0	16	96	4.564348	12	32	3.465736	2	z	w		
w	29	3671	8.208219	14	3573	8.181161	15	98	4.584967	0	0	0	1	w			
klj	3	11	2.397895	2	10	2.302585	1	1	0	0	0	0	3	k	l	j	
kn	3	27	3.295837	1	1	0	2	26	3.258097	0	0	0	2	k	n		
Grw	4	12	2.484907	0	0	0	4	12	2.484907	0	0	0	3	G	r	w	
gw	9	17	2.833213	7	15	2.70805	2	2	0.693147	0	0	0	2	g	w		
cw	1	1	0	0	0	0	1	1	0	1	1	0	2	c	w		
frj	4	59	4.077537	0	0	0	4	59	4.077537	1	6	1.791759	3	f	r	j	
Lw	4	7	1.94591	0	0	0	4	7	1.94591	4	7	1.94591	2	L	w		
Glj	1	4	1.386294	0	0	0	1	4	1.386294	0	0	0	3	G	l	j	
Grj	2	2	0.693147	1	1	0	1	1	0	0	0	0	3	G	r	j	
skr	241	3002	8.007034	197	2812	7.941651	44	190	5.247024	0	0	0	3	s	k	r	
spj	137	2647	7.881182	133	2603	7.86442	4	44	3.78419	0	0	0	3	s	p	j	
ksj	3	5	1.609438	0	0	0	3	5	1.609438	0	0	0	3	k	s	j	
trw	1	1	0	0	0	0	1	1	0	0	0	0	3	t	r	w	
pt	15	49	3.89182	0	0	0	15	49	3.89182	0	0	0	2	p	t		
ptj	1	1	0	0	0	0	1	1	0	0	0	0	3	p	t	j	
vl	5	14	2.639057	1	3	1.098612	4	11	2.397895	0	0	0	2	v	l		
vw	34	1963	7.582229	27	1637	7.400621	7	326	5.786897	0	0	0	2	v	w		
sb	336	1545	7.342779	336	1545	7.342779	0	0	0	0	0	0	2	s	b		
sbj	20	43	3.7612	20	43	3.7612	0	0	0	0	0	0	3	s	b	j	
sbl	11	48	3.871201	11	48	3.871201	0	0	0	0	0	0	3	s	b	l	
skj	181	917	6.821107	181	917	6.821107	0	0	0	0	0	0	3	s	k	j	
skl	9	20	2.995732	9	20	2.995732	0	0	0	0	0	0	3	s	k	l	
sd	28	75	4.317488	27	71	4.26268	1	4	1.386294	0	0	0	2	s	d		
sdr	28	95	4.553877	28	95	4.553877	0	0	0	0	0	0	3	s	d	r	
sv	392	2937	7.985144	380	2884	7.966933	12	53	3.970292	0	0	0	2	s	v		
sfj	39	209	5.342334	39	209	5.342334	0	0	0	0	0	0	3	s	f	j	
sfw	2	2	0.693147	2	2	0.693147	0	0	0	0	0	0	3	s	f	w	
sGr	90	232	5.446737	78	166	5.111988	12	66	4.189655	0	0	0	3	s	G	r	
sGw	28	421	6.042633	28	421	6.042633	0	0	0	0	0	0	3	s	G	w	
sl	95	365	5.899897	81	305	5.720312	14	60	4.094345	0	0	0	2	s	l		
smw	6	15	2.70805	6	15	2.70805	0	0	0	0	0	0	3	s	m	w	
spl	17	285	5.652489	17	285	5.652489	0	0	0	0	0	0	3	s	p	l	
spr	149	460	6.131226	149	460	6.131226	0	0	0	0	0	0	3	s	p	r	
sr	31	51	3.931826	29	47	3.850148	2	4	1.386294	0	0	0	2	s	r		
stj	2	200	5.298317	2	200	5.298317	0	0	0	0	0	0	3	s	t	j	
stw	5	15	2.70805	5	15	2.70805	0	0	0	0	0	0	3	s	t	w	
svj	3	4	1.386294	3	4	1.386294	0	0	0	0	0	0	3	s	v	j	
svw	22	96	4.564348	22	96	4.564348	0	0	0	0	0	0	3	s	v	w	
